[2017-04-11 19:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 19:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 20:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 21:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 22:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-11 23:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 00:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 01:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 01:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 01:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
